"username","anime_id","my_watched_episodes","my_start_date","my_finish_date","my_score","my_status","my_rewatching","my_rewatching_ep","my_last_updated","my_tags"
"RedvelvetDaisuki",18495,0,"0000-00-00","0000-00-00",0,6,0,0,1372510079,""
"shuzzable",934,26,"0000-00-00","2013-06-17",9,2,0,0,1371525392,""
"Damonashu",231,26,"0000-00-00","0000-00-00",0,2,0,0,0,""
"Bas_G",2167,23,"0000-00-00","0000-00-00",10,2,NA,0,1448551023,""
"Bas_G",13659,13,"0000-00-00","2016-04-05",8,2,0,0,1459889320,""
"RedvelvetDaisuki",164,1,"2013-10-30","2013-10-30",9,2,NA,0,1383142904,"9+"
"Damonashu",19117,1,"0000-00-00","0000-00-00",0,1,0,0,1390647270,""
"Bas_G",3927,25,"2016-08-29","2016-11-13",9,2,0,0,1479058988,""
"Damonashu",31240,25,"0000-00-00","0000-00-00",0,2,0,0,1499669574,""
"Damonashu",1298,1,"0000-00-00","0000-00-00",4,2,0,0,1219344222,""
"Bas_G",16498,25,"0000-00-00","2015-12-04",9,2,NA,0,1449236303,""
"Damonashu",1161,25,"0000-00-00","0000-00-00",4,2,0,0,0,""
"bskai",1311,1,"0000-00-00","0000-00-00",9,2,0,0,1274165306,""
"bskai",101,13,"0000-00-00","0000-00-00",7,2,0,0,1274221955,""
"RedvelvetDaisuki",1457,0,"0000-00-00","0000-00-00",0,6,0,0,1355483912,""
"Bas_G",4898,0,"0000-00-00","0000-00-00",0,6,0,0,1461769017,""
"RedvelvetDaisuki",12979,0,"2012-10-00","0000-00-00",7,3,NA,0,1355472233,""
"RedvelvetDaisuki",134,13,"2013-03-27","2013-03-27",5,2,NA,0,1364378494,""
"RedvelvetDaisuki",25649,12,"2015-07-09","2015-00-00",8,2,0,0,1518188437,""
"Bas_G",14893,1,"2016-01-10","2016-01-10",7,2,0,0,1452461658,""
"sprite1989",6628,0,"0000-00-00","0000-00-00",0,1,0,0,1318539273,""
"sprite1989",3576,0,"0000-00-00","0000-00-00",0,1,0,0,1315592500,""
"sprite1989",3019,0,"0000-00-00","0000-00-00",0,1,0,0,1322599507,""
"sprite1989",8440,0,"0000-00-00","0000-00-00",0,1,0,0,1283640696,""
"sprite1989",3220,0,"0000-00-00","0000-00-00",0,1,0,0,1325631176,""
"sprite1989",3713,0,"0000-00-00","0000-00-00",0,1,0,0,1320869277,""
"sprite1989",2269,0,"0000-00-00","0000-00-00",0,1,0,0,1318885506,""
"sprite1989",2618,0,"0000-00-00","0000-00-00",0,1,0,0,1322175248,""
"sprite1989",1058,0,"0000-00-00","0000-00-00",0,1,0,0,1312409033,""
"sprite1989",389,0,"0000-00-00","0000-00-00",0,1,0,0,1323127143,""
"sprite1989",7791,0,"0000-00-00","0000-00-00",0,1,0,0,1312070827,""
"sprite1989",6746,0,"0000-00-00","0000-00-00",0,1,0,0,1320531422,""
"sprite1989",3481,0,"2017-01-03","0000-00-00",0,1,0,0,1483442126,""
"sprite1989",5030,0,"0000-00-00","0000-00-00",0,1,0,0,1233185015,""
"Bas_G",33352,1,"2018-01-13","0000-00-00",0,1,0,0,1515882337,""
"sprite1989",1925,0,"0000-00-00","0000-00-00",0,1,0,0,1303666817,""
"sprite1989",4475,0,"0000-00-00","0000-00-00",0,1,0,0,1322423015,""
"sprite1989",654,0,"0000-00-00","0000-00-00",0,1,0,0,1306362241,""
"sprite1989",1190,0,"0000-00-00","0000-00-00",0,1,0,0,1320261061,""
"sprite1989",718,0,"0000-00-00","0000-00-00",0,1,0,0,1312067949,""
"sprite1989",11299,0,"0000-00-00","0000-00-00",0,1,0,0,1315866483,""
"thetreedude",105,0,"0000-00-00","0000-00-00",0,6,0,0,1411967835,""
"thetreedude",79,24,"0000-00-00","0000-00-00",7,2,0,0,0,"Harem"
"sprite1989",33314,0,"0000-00-00","0000-00-00",0,1,0,0,1478545153,""
"sprite1989",11755,0,"2016-12-06","0000-00-00",0,1,0,0,1481029505,""
"sprite1989",11079,0,"0000-00-00","0000-00-00",0,1,0,0,1321904778,""
"sprite1989",20047,0,"2016-11-26","0000-00-00",0,1,0,0,1480194844,""
"thetreedude",761,1,"0000-00-00","0000-00-00",4,2,0,0,0,"Shouninja Luck"
"sprite1989",24259,0,"2016-12-02","0000-00-00",0,1,0,0,1480711363,""
"Heihouka",1818,26,"0000-00-00","0000-00-00",7,2,0,0,1219660442,""
"sprite1989",9611,0,"0000-00-00","0000-00-00",0,1,0,0,1311117193,""
"thetreedude",401,2,"0000-00-00","0000-00-00",8,2,0,0,0,"Samuraix"
"thetreedude",25859,13,"0000-00-00","0000-00-00",6,2,0,0,1439489851,"e-k"
"sprite1989",10739,1,"0000-00-00","0000-00-00",3,2,0,0,1317154758,""
"thetreedude",3613,0,"0000-00-00","0000-00-00",0,6,0,0,1209611549,""
"sprite1989",16528,0,"2016-12-04","0000-00-00",0,1,0,0,1480872908,""
"sprite1989",10834,0,"0000-00-00","0000-00-00",0,1,0,0,1320183732,""
"thetreedude",16910,13,"0000-00-00","0000-00-00",7,2,0,0,1375126830,"I have a mermaid drinking problem"
"HimeAria",9289,0,"0000-00-00","0000-00-00",0,6,NA,0,1394911566,""
"sprite1989",33480,0,"0000-00-00","0000-00-00",0,1,0,0,1507052684,""
"MistButterfly",2571,52,"0000-00-00","0000-00-00",5,2,0,0,1390089366,NA
"Slimak",18247,0,"0000-00-00","0000-00-00",0,6,0,0,1386963193,NA
"MistButterfly",1021,44,"0000-00-00","0000-00-00",7,2,0,0,1471699924,NA
"MistButterfly",497,13,"0000-00-00","0000-00-00",5,2,0,0,1462663255,NA
"MistButterfly",4094,6,"0000-00-00","0000-00-00",5,2,0,0,1443171018,NA
"MistButterfly",1335,26,"0000-00-00","0000-00-00",5,2,0,0,1387658139,NA
"MistButterfly",4060,24,"0000-00-00","0000-00-00",6,2,0,0,1440444112,NA
"MistButterfly",4071,2,"0000-00-00","0000-00-00",5,2,0,0,1442771433,NA
"MistButterfly",3849,3,"0000-00-00","0000-00-00",4,2,0,0,1417905166,NA
"MistButterfly",1276,7,"0000-00-00","0000-00-00",4,2,0,0,1432615864,NA
"MistButterfly",3363,0,"0000-00-00","0000-00-00",0,3,0,0,1394131096,NA
"MistButterfly",2281,39,"0000-00-00","0000-00-00",4,2,0,0,1451253738,NA
"MistButterfly",2948,1,"0000-00-00","0000-00-00",5,2,0,0,1387585066,NA
"Slimak",2386,1,"0000-00-00","0000-00-00",5,2,0,0,1237287580,NA
"MistButterfly",1437,1,"0000-00-00","0000-00-00",5,2,0,0,1522785459,NA
"MistButterfly",305,4,"0000-00-00","0000-00-00",3,2,0,0,1417904593,NA
"MistButterfly",997,1,"0000-00-00","0000-00-00",7,2,0,0,1404319801,NA
"MistButterfly",2164,26,"0000-00-00","0000-00-00",6,2,0,0,1503154870,NA
"MistButterfly",859,48,"0000-00-00","0000-00-00",5,2,0,0,1466893791,NA
"Slimak",29758,0,"0000-00-00","0000-00-00",0,6,0,0,1471257896,NA
"MistButterfly",10935,2,"0000-00-00","0000-00-00",6,2,0,0,1395577025,NA
"MistButterfly",23199,12,"0000-00-00","0000-00-00",8,2,0,0,1427472106,NA
"MistButterfly",15633,3,"0000-00-00","0000-00-00",6,2,0,0,1366986807,NA
"MistButterfly",27947,26,"0000-00-00","0000-00-00",7,2,0,0,1450361155,NA
"MistButterfly",8985,3,"0000-00-00","0000-00-00",5,2,0,0,1398062243,NA
"MistButterfly",16009,12,"0000-00-00","0000-00-00",6,2,0,0,1453726303,NA
"MistButterfly",32065,1,"0000-00-00","0000-00-00",5,2,0,0,1459448983,NA
"MistButterfly",30751,13,"0000-00-00","0000-00-00",5,2,0,0,1440927666,NA
"MistButterfly",30654,25,"0000-00-00","0000-00-00",9,2,0,0,1467322734,NA
"MistButterfly",10083,2,"0000-00-00","0000-00-00",7,2,0,0,1366989922,NA
"MistButterfly",9347,1,"0000-00-00","0000-00-00",4,2,0,0,1392034670,NA
"MistButterfly",22537,13,"0000-00-00","0000-00-00",5,2,0,0,1412592054,NA
"MistButterfly",13309,1,"0000-00-00","0000-00-00",4,2,0,0,1417904870,NA
"MistButterfly",22591,1,"0000-00-00","0000-00-00",4,2,0,0,1457908999,NA
"MistButterfly",12753,25,"0000-00-00","0000-00-00",6,2,0,0,1379196102,NA
"MistButterfly",10232,12,"0000-00-00","0000-00-00",5,2,0,0,1407581373,NA
"MistButterfly",27655,12,"0000-00-00","0000-00-00",6,2,0,0,1427550679,NA
"MistButterfly",8800,3,"0000-00-00","0000-00-00",5,2,0,0,1403430281,NA
"MistButterfly",16870,1,"0000-00-00","0000-00-00",7,2,0,0,1429910434,NA
"MistButterfly",18295,12,"0000-00-00","0000-00-00",6,2,0,0,1388690135,NA
"Cranberry_cakes",528,1,"0000-00-00","0000-00-00",7,2,0,0,1200936762,""
"MistButterfly",36999,0,"0000-00-00","0000-00-00",0,6,0,0,1514391535,""
"ProperBritish",4181,24,"0000-00-00","2011-09-23",10,2,0,0,1316816444,"powerful realism"
"iLLMaTiCc",9253,0,"0000-00-00","0000-00-00",0,6,0,0,1373904416,""
"ProperBritish",3228,3,"0000-00-00","0000-00-00",0,1,0,0,1491342364,""
"kioniel",10620,26,"0000-00-00","2012-04-19",0,2,0,0,1334854396,""
"iLLMaTiCc",249,167,"0000-00-00","0000-00-00",7,2,NA,0,1362852663,""
"yen_otaku",30,0,"0000-00-00","0000-00-00",0,6,NA,0,1248437983,""
"Not_Rijad",18753,1,"2016-04-10","2016-04-10",8,2,0,0,1460240599,""
"MistButterfly",34349,0,"0000-00-00","0000-00-00",0,6,0,0,1478878701,""
"iLLMaTiCc",3655,0,"0000-00-00","0000-00-00",0,6,0,0,1374769343,""
"MistButterfly",36494,4,"0000-00-00","0000-00-00",7,2,0,0,1507046123,""
"MistButterfly",33197,12,"0000-00-00","0000-00-00",5,2,0,0,1482590588,""
"iLLMaTiCc",6114,0,"0000-00-00","0000-00-00",0,6,0,0,1375491026,""
"kioniel",226,13,"0000-00-00","0000-00-00",10,2,0,0,1233243209,""
"MistButterfly",34252,1,"0000-00-00","0000-00-00",5,2,0,0,1485276378,""
"ProperBritish",9911,4,"2011-02-03","0000-00-00",6,2,NA,0,1296777655,"magical girls"
"iLLMaTiCc",7054,26,"0000-00-00","0000-00-00",8,2,0,0,1365094572,""
"ProperBritish",27775,13,"0000-00-00","2015-07-02",9,2,0,0,1435795345,""
"Not_Rijad",9989,11,"0000-00-00","2016-06-25",9,2,0,0,1466877134,""
"cfoordddd",7768,0,"0000-00-00","0000-00-00",0,6,NA,0,1347290051,""
"helenply",4896,26,"0000-00-00","0000-00-00",8,2,0,0,1367857362,""
"helenply",861,0,"0000-00-00","0000-00-00",0,6,0,0,1458185356,""
"Xinil",2404,0,"0000-00-00","0000-00-00",0,6,0,0,1184785994,""
"helenply",23283,11,"0000-00-00","0000-00-00",9,2,0,0,1481234713,""
"hood_rad",28223,12,"0000-00-00","0000-00-00",0,2,0,0,1503348261,""
"Xinil",393,1,"2003-02-04","2003-02-04",9,2,0,0,0,"fantasy, mecha"
"Xinil",137,8,"2003-02-26","2003-03-02",9,2,0,0,0,"action, super-power, shounen"
